target_name,target_type,source_id,source_type,title,url_or_path,language,date,source_tier,tags,notes
Boston Consulting Group,consulting_company,manual_001,manual,Replace with your first source,,zh,,user_provided,organization;talent,Delete or replace this example row.
Boston Consulting Group,consulting_company,src_0001,web,Boston Consulting Group Human Resources interview questions,"https://www.glassdoor.com/Interview/Boston-Consulting-Group-Human-Resources-Interview-Questions-EI_IE3879.0,23_KO24,39.htm",en,,third_party,video;video_transcript,"Interview process & format — The interview process is generally structured with multiple stages, often including online assessments, case interviews, and ..."
Boston Consulting Group,consulting_company,src_0002,web,Boston Consulting Group names Elliot Vaughn as CHRO & People Chair for EMEASA,https://me.peoplemattersglobal.com/news/appointments/boston-consulting-group-names-elliot-vaughn-as-chro-people-chair-for-emeasa-43976,en,,third_party,video;video_transcript,"Boston Consulting Group names Elliot Vaughn as CHRO & People Chair for EMEASA # Boston Consulting Group names Elliot Vaughn as CHRO & People Chair for EMEASA Elliot, who recently served as Managing Director & Senior Partner, brings nearly three decades of leadership experience to his new role. Boston Consulting Group, a leading management consulting company, has promoted Elliot Vaughn to the role of Chief Human Resources Officer, and People Chair for Europe, the Middle East, Africa and South Ame"
Boston Consulting Group,consulting_company,src_0003,web,S10-Ep39: In It Together - How Boston Consulting Group Combines Strengths from Every Generation | Innovating Leadership: Co-Creating Our Future,https://innovatingleadership.podbean.com/e/bcg/,en,,third_party,video;video_transcript,"Guest: Alicia Pittman, Global People Chair – Boston Consulting Group Fast and furious: that’s how change is hitting our workplaces with AI, multiple generations, and more. Yet Boston Consulting Group has figured out how to turn those changes into advantages. Their Global People Chair, Alicia Pittman, shares how to unlock all that potential in your business, too. 1. Why BCG started reverse mentorships, and how that energizes their teams; 2. What an exoskeleton does for the organization; and 3. Wh"
Boston Consulting Group,consulting_company,src_0004,web,"Boston Consulting Group appoints Elliot Vaughn as Chief Human Resources Officer, ETHRWorldEMEA",https://hrme.economictimes.indiatimes.com/news/industry/boston-consulting-group-appoints-elliot-vaughn-as-chief-human-resources-officer/117224939,en,,third_party,video;video_transcript,"Boston Consulting Group appoints Elliot Vaughn as Chief Human Resources Officer, ETHRWorldEMEA # Boston Consulting Group appoints Elliot Vaughn as Chief Human Resources Officer Elliot Vaughn has been a leading advocate for diversity within BCG, spearheading the firm’s global LGBTQ+ network, Pride@BCG. He has also founded and serves as Chair of GiveOut, a charity raising funds for global LGBTQ+ advocacy. As CHRO and People Chair, Vaughn will oversee HR policies and labour relations across EMEASA,"
Boston Consulting Group,consulting_company,src_0005,video,S10-Ep39: In It Together - How Boston Consulting Group Combines Strengths from Every Generation,https://podcasts.apple.com/tw/podcast/s10-ep39-in-it-together-how-boston-consulting-group/id1019665822?i=1000679907126,en,,third_party,video;video_transcript,"Boston Consulting Group Combines Strengths from Every Generation Guest: Alicia Pittman, Global People Chair –Boston Consulting Group Fast and furious: that’s how change is hitting our workplaces with AI, multiple generations, and more. Yet Boston Consulting Group has figured out how to turn those changes into advantages. Their Global People Chair, Alicia Pittman, shares how to unlock all that potential in your business, too. 1. Why BCG started reverse mentorships, and how that energizes their te"
Boston Consulting Group,consulting_company,src_0006,web,BCG Beyond Tech webinar series | Careers | Boston Consulting Group,https://careers.bcg.com/global/en/featured-events/beyond-tech,en,2025,third_party,video;video_transcript,"BCG Beyond Tech webinar series | Careers | Boston Consulting Group # BEYONDTECHWEBINAR SERIES Unveiling Our Digital Landscape26 February 2025 - 16:30 CET ## Episode 3: Behind the Scenes with a Data Scientist at BCG X ## BCG is committed to fostering sustainable growth and value by enhancing both digital and human capacities across industries. This upcoming webinar will highlight Jeremy Tran Kiem, a Data Scientist at BCG X, as he navigates the complexities of today’s dynamic business landscape. I"
Boston Consulting Group,consulting_company,src_0007,web,Harnessing the Power of AI and GenAI - Boston Consulting Group,https://www.bcg.com/videos/harnessing-the-power-of-ai,en,,third_party,video;video_transcript,"In this video series, BCG experts share key strategies to build a competitive edge and unlock the full potential of AI. Watch the series to learn more."
Boston Consulting Group,consulting_company,src_0008,web,Upcoming Events - BCG Careers - Boston Consulting Group,https://careers.bcg.com/global/en/events/virtual-experience00,en,,third_party,video;video_transcript,"Ready to learn more about BCG? Explore upcoming BCG events focused on professional development, recruiting, and networking for all career stages."
Boston Consulting Group,consulting_company,src_0009,web,Masterclass: HR transformation imperatives and mechanics | ETHRWorldSEA,https://hrsea.economictimes.indiatimes.com/videos/masterclass-hr-transformation-imperatives-and-mechanics/98271177,en,,third_party,video;video_transcript,"Talent has found a new definition in the current world of work and there is a major expectation setting that organisations must understand. But what is the right approach? In this hands-on masterclass, Mir Salim, Managing Director and Partner at Boston Consulting Group joined us to help us understand what are some of the major people challenges looming in this era of unprecedented change and innovation. Get insights on why, what, and how are leading HR departments transforming to respond and get"
Boston Consulting Group,consulting_company,src_0010,web,Events - BCG Careers - Boston Consulting Group,https://careers.bcg.com/global/en/events,en,,third_party,video;video_transcript,"Ready to learn more about BCG? Explore upcoming BCG events focused on professional development, recruiting, and networking for all career stages."
Boston Consulting Group,consulting_company,src_0011,web,Talent & Skills Strategy Consulting | BCG,https://www.bcg.com/capabilities/people-strategy/talent-skills-strategy,en,,third_party,video;video_transcript,"Talent & Skills Strategy Consulting | BCG As markets, technologies, and expectations rapidly evolve, having the right talent and skills becomes even more essential. By taking a comprehensive approach, from strategic workforce planning to people development, we help companies build competitive advantage and position them for success. Talent is the most important resource a business possesses, fueling the ideas that propel growth. But like many resources, talent is often in short supply and can be"
Boston Consulting Group,consulting_company,src_0012,web,How BCG Reimagined Global Talent Acquisition through Local Impact,https://rallyrecruitmentmarketing.com/2023/05/how-bcg-reimagined-global-talent-acquisition-through-local-impact/,en,2023,third_party,video;video_transcript,Learn the award-winning Recruitment Marketing campaign created by Boston Consulting Group to help you reimagine global talent acquisition through local impact.
Boston Consulting Group,consulting_company,src_0013,video,Three Decades at Boston Consulting Group: Making Partner After ...,https://www.youtube.com/watch?v=K4nXHO2-vpQ&vl=en,en,,third_party,video;video_transcript,What does it actually take to make partner at Boston Consulting Group (BCG) and stay with the firm for more than 30 years without burning ...
Boston Consulting Group,consulting_company,src_0014,web,Designing Organizational Change That Actually Sticks,https://hbr.org/2026/05/designing-organizational-change-that-actually-sticks?ab=HBRExecCH-content_masterclasses-image-3,en,2026,third_party,video;video_transcript,An HBR Executive Masterclass with Boston Consulting Group partners Julia Dhar and Kristy Ellmer on the five phases of organizational change.
Boston Consulting Group,consulting_company,src_0015,web,Annual Conference - Boston University Consulting Group,https://www.buconsultinggroup.com/conference,en,,official,video;video_transcript,The Annual Consulting Conference is BU Consulting Group's headline event which celebrates the contributions of industry professionals.
Boston Consulting Group,consulting_company,src_0016,web,Boston Consulting Group - Partners - AI & Big Data Expo Global,https://www.ai-expo.net/global/partners/boston-consulting-group/,en,,third_party,video;video_transcript,Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities.
Boston Consulting Group,consulting_company,src_0017,web,BCG at the 2026 Milken Institute Global Conference - LinkedIn,https://www.linkedin.com/posts/boston-consulting-group_bcg-at-the-2026-milken-institute-global-conference-activity-7454544892288131073-p9PD,en,2026,third_party,video;video_transcript,"Find BCG at the Milken Institute Global Conference in Los Angeles, California from May 3–6, 2026. BCG experts will connect with leaders on ..."
Boston Consulting Group,consulting_company,src_0018,video,Infinite possibilities: The talks of TED@BCG 2025 | TED Blog,https://blog.ted.com/infinite-possibilities-the-talks-of-tedbcg-2025/,en,2025,third_party,video;video_transcript,"The event: TED@BCG: Infinite Possibilities, the sixteenth event TED and Boston Consulting Group (BCG) have co-hosted to uplift forward-thinking speakers from around the globe. Hosted by TED’s head of media and curation Helen Walters. When and where: 20 at The Lana, Dorchester Collection, in"
